Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2023 [YR2023],2022 [YR2022],2021 [YR2021],2020 [YR2020],2019 [YR2019],2018 [YR2018],2017 [YR2017],2016 [YR2016],2015 [YR2015],2014 [YR2014],2013 [YR2013],2012 [YR2012],2011 [YR2011],2010 [YR2010],2009 [YR2009],2008 [YR2008]
Andorra,AND,"Population, total",SP.POP.TOTL,65685,65852,66506,69486,74325,77421,79585,81877,80856,79705,78364,77380,76474,75162,73763,72181,72174,73737,75194,76834,77783,80706,83888,83495
Andorra,AND,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.95276403,5.85823727,5.99621153,5.54771519,5.28846931,5.59476948,4.96530008,4.92347288,..,..,8.33449364,8.78673935,7.323246,7.37541723,7.07142639,6.90521765,6.91586447,6.77308035,6.79964209,6.71083689,7.62060833,7.67537737,6.08094168,5.67066383
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,..,61.929,61.643,62.261,62.448,62.144,61.68,61.092,60.655,60.04,59.307,58.623,57.596,56.726,55.752,54.633
Angola,AGO,GDP (current US$),NY.GDP.MKTP.CD,9129594970.15301,8936079117.73136,15285592370.374,17812704586.4397,23552057679.4994,36970900883.8109,52381025141.4268,65266415494.2584,84824654481.7249,104399746853.401,66505129987.7235,48501561203.5686,70897962732.0277,79450688259.3664,73690154990.7312,52761617225.9253,90496420506.5957,135966802586.713,132339109040.232,128052915766.343,111789747670.59,83799474069.7315,70307196181.6539,88538665084.8634
Angola,AGO,"Population, total",SP.POP.TOTL,16194869,16747208,17327699,17943712,18600423,19291161,20015279,20778561,36749906,35635029,34532429,33451132,32375632,31297155,30234839,29183070,28157798,27160769,26165620,25177394,24218352,23294825,22414773,21578655
Angola,AGO,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,1.90859938,4.48351622,3.32946134,3.54797316,3.96719909,2.85219526,2.68553543,2.97439122,..,..,2.96010613,3.22070646,2.47517991,2.58879566,2.79383755,2.71314979,2.60579467,2.43412876,2.73282695,2.39574957,2.64560771,2.69509959,3.84260798,3.32290339
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.606,75.078,75.536,75.478,75.672,75.825,75.765,76.131,..,79.236,78.497,78.841,78.691,78.511,78.268,78.152,77.913,77.858,77.583,77.35,77.104,76.82,76.669,76.41
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,900551851.851852,877514814.814815,897988888.888889,947955555.555555,1026181481.48148,1143714814.81481,1303548148.14815,1487300000,2033085185.18518,1867733333.33333,1601366666.66667,1410796296.2963,1725351851.85185,1661529629.62963,1531151851.85185,1489692592.59259,1437755555.55556,1378829629.62963,1325425925.92593,1327107407.40741,1281337037.03704,1298255555.55556,1386444444.44444,1557540740.74074
Antigua and Barbuda,ATG,"Population, total",SP.POP.TOTL,74912,76069,77032,77884,78719,79611,80604,81704,93316,92840,92349,91846,91364,90926,90468,89969,89409,88765,88064,87260,86332,85320,84173,82912
Antigua and Barbuda,ATG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.71542597,5.43839121,5.28793621,5.58143282,5.11667967,4.99094057,4.63050652,4.44609547,..,..,5.85133028,5.92146206,4.37567186,4.84869289,4.87493944,5.12190151,5.27965546,5.87269926,5.50909233,5.47921467,5.44257212,5.37907028,4.17732763,4.20027018
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,..,76.064,75.39,75.892,77.284,76.999,76.833,76.308,76.76,76.755,76.491,76.467,76.124,75.721,75.936,75.641
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,284203750000,268696750000,97724004251.8602,127586973492.177,164657930452.787,198737095012.282,232557260817.308,287530508430.568,646075277525.125,632790070063.124,486564085480.036,385740508436.965,447754683615.225,524819892360.176,643628393281.364,557532320662.955,594749285413.212,526319673731.638,552025140252.246,545982375701.128,530158122010.442,423627422092.49,332976484577.619,361558037110.419
Argentina,ARG,"Population, total",SP.POP.TOTL,37213984,37624825,38029349,38424282,38815916,39216789,39622115,40016763,45538401,45407904,45312281,45191965,44973465,44654882,44288894,43900313,43477012,43024071,42582455,42161721,41730660,41288694,40854831,40424148
Argentina,ARG,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,8.22001076,8.37179852,7.3933115,6.89451647,7.22868252,7.61078882,7.64032793,7.83455086,..,..,9.70880699,10.34701538,10.04194355,10.29146862,10.23174763,9.85558891,10.22933674,9.67129993,9.78097916,9.82726669,9.41819859,9.44546413,9.45599556,8.1826973
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,70.624,70.932,71.018,71.436,71.421,71.792,71.987,72.327,..,73.372,72.043,72.173,75.439,75.064,74.906,74.664,74.436,74.058,73.676,73.454,73.305,73.16,72.813,72.398
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,1911563668.85006,2118467913.37873,2376335048.39976,2807061008.69084,3576615240.41616,4900469511.10191,6384452066.5146,9206301269.79164,24085749592.3359,19513506553.1251,13878908628.9378,12641698583.2152,13619290539.2116,12457940694.7395,11527458709.0158,10546136235.5219,10553337518.414,11609513246.7958,11121464437.0415,10619320682.9474,10142111824.5835,9260285755.62424,8647937081.2562,11662040713.8753
Armenia,ARM,"Population, total",SP.POP.TOTL,3221100,3211800,3199800,3182500,3164900,3146400,3127100,3107400,2990900,2969200,2962300,2961500,2962500,2969000,2979400,2992300,3004600,3013800,3022000,3024100,3027900,3044800,3066000,3087100
Armenia,ARM,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,4.2,4.65,7.61,7.18,6.06,5.86,5.85,5.5,..,..,12.34,12.24,11.38,10.01,10.36,9.95,10.12,10.18,10.32,9.13,9.38,9.24,8.44,6.64
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,73.569,73.647,73.726,73.752,73.576,73.811,74.026,74.21,..,74.992,74.626,75.723,76.248,76.072,75.903,75.617,75.683,75.601,75.636,75.531,75.465,75.404,74.56,74.147
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,1873452513.96648,1896456983.24022,1961843575.41899,2044111731.84358,2254830726.25698,2360017318.43575,2469782681.56425,2677641340.78212,3648573136.15155,3279343543.60416,2929446578.25104,2481857122.8401,3395798882.68156,3276184357.5419,3092429050.27933,2983635195.53073,2962907262.56983,2790849720.67039,2727849720.67039,2615208379.88827,2637859217.87709,2453597206.70391,2553793296.08939,2843024581.00559
Aruba,ABW,"Population, total",SP.POP.TOTL,90588,91439,92074,93128,95138,97635,99405,100150,107359,107310,107700,108587,109203,108908,108735,108727,107906,106807,105675,104110,102591,101838,101604,100917
Aruba,ABW,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..,..
Australia,AUS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,79.2341463414634,79.6341463414634,79.9365853658537,80.2390243902439,80.490243902439,80.8414634146341,81.0414634146342,81.2926829268293,..,83.2,83.3,83.2,82.9,82.7487804878049,82.5,82.4487804878049,82.4,82.3,82.1487804878049,82.0463414634146,81.8951219512195,81.6951219512195,81.5439024390244,81.3951219512195
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,416167815092.908,379629301675.108,395788696012.059,467739079790.332,614659980082.515,695692898676.56,748417562769.636,855007458585.224,1728057316695.61,1690858246994.43,1556735770437.26,1328414058378.38,1392723834562.64,1427809041019.44,1325582658156.54,1206836962281.84,1351296372254.31,1468265356427.76,1577123329410.88,1547532281116.4,1398610616772.97,1148838233480.72,928762122698.05,1056112427190.38
Australia,AUS,"Population, total",SP.POP.TOTL,19028802,19274701,19495210,19720737,19932722,20176844,20450966,20827622,26658948,26014399,25685412,25649248,25334826,24963258,24592588,24190907,23815995,23475686,23128129,22733465,22340024,22031750,21691653,21249199
Australia,AUS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.59412289,7.67809916,7.87627029,7.88087225,8.08708572,7.97029352,7.97702456,8.05496502,..,..,10.54363918,10.6837368,10.21965981,10.05971909,10.12281322,10.09288597,10.18225861,9.83354282,8.75058746,8.67456913,8.53744984,8.42025661,8.54473877,8.24855137
Austria,AUT,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.1268292682927,78.5756097560976,78.6780487804878,78.6317073170732,79.1804878048781,79.3317073170732,79.8804878048781,80.1804878048781,..,81.0926829268293,81.190243902439,81.1926829268293,81.8951219512195,81.6926829268293,81.6439024390244,81.6414634146342,81.190243902439,81.490243902439,81.1365853658537,80.9365853658537,80.9829268292683,80.5804878048781,80.3317073170732,80.4317073170732
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,196181599831.287,196477206829.33,212837224022.813,260779834340.097,299210411454.823,313952317330.776,333905979332.481,386760177589.497,511685203845.001,471773629830.381,480467037338.783,434397601557.696,442983642371.842,452582294972.775,414926138132.691,393687359770.273,379546097300.633,438556021078.034,426580502769.417,406750487603.59,428954737064.057,389827789217.634,399290118782.429,429234399096.173
Austria,AUT,"Population, total",SP.POP.TOTL,8011566,8042293,8081957,8121423,8171966,8227829,8268641,8295487,9131761,9041851,8955797,8916864,8879920,8840521,8797566,8736668,8642699,8546356,8479823,8429991,8391643,8363404,8343323,8321496
Austria,AUT,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,9.2,9.27,9.39,9.55,9.71,9.63,9.53,9.53,..,..,12.1,11.39,10.49,10.35,10.38,10.35,10.37,10.37,10.29,10.2,10.03,10.22,10.23,9.73
Azerbaijan,AZE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.891,65.51,66.239,66.756,67.346,67.562,68.165,68.603,..,73.488,69.366,66.868,73.102,72.76,72.248,72.004,71.451,71.116,70.881,70.36,69.984,69.529,69.356,68.811
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,5272615722.96892,5707616203.72011,6236087738.28284,7276413079.11451,8680405740.94125,13245421880.834,20981929497.6188,33049419431.2244,72356176470.5882,78807470588.2353,54825411764.7059,42693000000,48174235294.1176,47112470051.7701,40866627351.9817,37866996882.9157,53076235354.746,75239785452.1022,74160560123.6902,69679944504.1972,65952796427.9473,52909294791.9262,44292427184.9492,48851293785.4483
Azerbaijan,AZE,"Population, total",SP.POP.TOTL,8048600,8111200,8171950,8234100,8306500,8391850,8484550,8581300,10153958,10141756,10137750,10093121,10024283,9939771,9854033,9757812,9649341,9535079,9416801,9295784,9173082,9054332,8947243,8763400
Azerbaijan,AZE,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.95,2.77,2.73,2.73,2.66,2.23,2.07,1.99,..,..,4.7,5.85,4.18,3.84,4.07,4.42,4.34,3.59,3.23,3.16,2.6,2.65,2.77,2.05
"Bahamas, The",BHS,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.041,72.11,72.232,72.402,72.478,72.765,72.855,72.678,..,74.358,71.598,72.677,71.205,73.806,73.632,73.537,73.104,73.366,73.024,72.753,72.564,72.731,72.579,72.667
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,8076470000,8317830000,8881160000,8870090000,9055290000,9836200000,10167250000,10618340000,14338500000,13136400000,11368900000,9958200000,13016200000,12615800000,12236700000,11745100000,11671900000,10974100000,10395800000,10720400000,10070450000,10095760000,9981960000,10526000000
"Bahamas, The",BHS,"Population, total",SP.POP.TOTL,323835,327836,331614,335618,339782,343894,348375,353334,399440,397538,396373,395863,394675,392717,390485,388055,385346,382298,378953,375469,371729,367478,362810,358120
"Bahamas, The",BHS,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.80487037,3.92440891,3.81251931,4.01998568,4.04628181,4.03196478,4.30935764,4.49598694,..,..,7.13872051,7.64700842,5.82275152,5.98263836,6.70352888,5.68248844,5.16048241,5.53944159,5.59409571,5.3190918,5.32398558,5.25594234,5.1500144,4.86261654
Bahrain,BHR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.496,75.908,76.088,76.337,76.56,76.931,77.156,77.634,..,79.246,78.76,79.174,80.019,79.857,79.689,79.557,79.405,79.328,79.246,79.081,78.89,78.748,78.461,78.084
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,9062898936.17021,8976196808.51064,9593510638.29787,11074813829.7872,13150159574.4681,15968723404.2553,18504760638.2979,21730000000,46079867021.2766,46680398936.1702,40840212765.9574,35837632978.7234,40446808510.6383,39567978723.4043,37204813829.7872,33884680851.0638,32523297872.3404,34772526595.7447,33823324468.0851,31963404255.3191,29914680851.0638,26805984042.5532,22938218085.1064,25710904255.3191
Bahrain,BHR,"Population, total",SP.POP.TOTL,637582,661316,710553,764517,823741,888822,960424,1039295,1577059,1524693,1504365,1472204,1483756,1503091,1501116,1423726,1370322,1314562,1253191,1208964,1195020,1228543,1178415,1103496
Bahrain,BHR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,3.33542562,3.48573017,3.67866111,3.88658071,3.49817729,3.25870824,3.10821271,3.29534078,..,..,4.26834059,4.71684837,3.95980334,4.12745667,4.51235676,4.86051178,4.97671938,4.41240263,4.30853891,4.10642147,3.8651762,4.08934975,4.32666922,3.2038722
Bangladesh,BGD,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,65.779,66.135,66.612,66.824,67.187,67.299,67.241,66.714,..,73.698,72.381,71.968,72.806,72.567,71.788,71.09,70.491,69.986,69.565,69.554,68.809,68.638,67.403,67.051
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,53369787318.6245,53991289844.3291,54724081490.5102,60158929188.2556,65108544250.0425,69476001239.419,71795736172.1561,79611644974.5571,437415331040.994,460131688909.301,416271647911.014,373979442362.193,351231654603.692,321362752441.78,293732446624.596,265224515675.034,195146608978.131,172886611653.786,149998957434.186,133310747603.483,128607482310.357,115275540051.262,102475158190.998,91636997370.9772
Bangladesh,BGD,"Population, total",SP.POP.TOTL,134544304,136805810,138933658,140970351,142902856,144715786,146405973,147989278,171466990,169384897,167658854,166298024,164913055,163523103,162186147,160811932,159383179,157964929,156532141,155070101,153591076,152201981,150873714,149474264
Bangladesh,BGD,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,1.80504513,1.77201855,1.93417108,1.96152198,1.99854314,2.05873919,2.10646582,2.17268491,..,..,2.36492991,2.27063942,2.25762248,2.31622243,2.36720181,2.38938212,2.27217698,2.27915168,2.29574466,2.3537879,2.36418128,2.28807664,2.18321705,2.11878848
Barbados,BRB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.089,74.247,74.366,74.472,74.727,74.89,75.068,75.342,..,77.706,77.571,77.393,77.257,77.067,76.936,76.815,76.65,76.476,76.275,76.099,75.917,75.712,75.678,75.447
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,3059500000,3054500000,3106500000,3209500000,3444500000,3819500000,4217323400,4675767950,6720733200,6257303500,5275242050,5168344450,5788288000,5629916200,5517340450,5330761500,5288057750,5365976700,5361158350,5271257500,5342183800,5191188500,4466809600,4790410400
Barbados,BRB,"Population, total",SP.POP.TOTL,262063,262425,264148,265776,267298,268706,270002,271288,282336,282318,282147,281698,281207,280711,280171,279598,278990,278348,277665,276938,276139,275243,274123,272714
Barbados,BRB,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.33187246,5.52529192,5.86123466,6.69148111,7.31297731,6.77536297,6.58370161,6.05665207,..,..,8.09043312,7.37276554,6.20015001,6.45336485,6.65253401,6.83736086,6.83201313,6.96651411,7.39825487,7.77819967,6.89690495,6.77094746,7.14522552,6.47753286
Belarus,BLR,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.9121951219512,68.5073170731707,68.0560975609756,68.5536585365854,68.9560975609756,68.8512195121951,69.4048780487805,70.2073170731707,..,73.1114634146342,72.3706829268293,72.4572195121951,74.2268292682927,74.1756097560976,74.1292682926829,73.8268292682927,73.6243902439025,72.9707317073171,72.4707317073171,71.9658536585366,70.5536585365854,70.4048780487805,70.4073170731707,70.4560975609756
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,12736780455.1539,12354820143.8849,14594900944.7658,17825444724.4878,23141566292.9462,30210091836.8294,36961894281.3444,45275711995.825,71857382745.6066,73775179924.603,69673747131.87,61371755326.2351,64410122847.3508,60031173807.7196,54725302249.8088,47723545321.259,56454889146.6088,78812805039.0743,75527558966.4473,65685890438.8922,61762382327.9319,57231904542.8755,50873167326.0414,60752106347.126
Belarus,BLR,"Population, total",SP.POP.TOTL,9979610,9928549,9865548,9796749,9730146,9663915,9604924,9560953,9178298,9228071,9302585,9379952,9419758,9438785,9458989,9469379,9461076,9448515,9443211,9446836,9461643,9483836,9504583,9527985
Belarus,BLR,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,5.28,5.71,5.62,5.77,5.74,6.07,5.57,5.69,..,..,6.57,6.41,5.86,5.53,5.76,5.91,6.07,5.39,5.7,5.25,4.87,5.66,5.39,5.29
Belgium,BEL,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,77.7219512195122,77.9731707317073,78.0756097560976,78.1292682926829,78.8780487804878,78.9804878048781,79.380487804878,79.7829268292683,..,81.6975609756098,81.790243902439,80.6951219512195,81.9951219512195,81.5951219512195,81.4926829268293,81.4390243902439,80.9926829268293,81.2878048780488,80.5878048780488,80.3853658536585,80.5853658536585,80.1829268292683,80.0341463414634,79.6804878048781
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,236792460312.471,236746141604.37,258383599375.177,318082528506.588,369214712443.206,385714762230.039,408259840868.823,470922156309.453,644782756682.756,593438820508.173,598494036474.409,529694473501.791,536726344405.489,542638913427.921,500908767351.53,474271566739.729,461044767544.531,537987419164.351,524097026598.55,498414364944.961,527196649048.639,481556503720.001,485014525992.461,517328087920.078
Belgium,BEL,"Population, total",SP.POP.TOTL,10251250,10286570,10332785,10376133,10421137,10478617,10547958,10625700,11787423,11680210,11586195,11538604,11488980,11427054,11375158,11331422,11274196,11209057,11159407,11106932,11038264,10895586,10796493,10709973
Belgium,BEL,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,7.99917603,8.14988804,8.31820965,9.16443539,9.32808781,9.22374916,9.12963009,9.13628674,..,..,11.04290771,11.19751263,10.79477787,10.86148262,10.79855728,10.79354668,10.79745102,10.60909367,10.57661152,10.50204754,10.36337948,10.20229435,10.32117939,9.5951395
Belize,BLZ,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,68.564,68.357,68.752,68.909,69.227,69.376,70.093,70.655,..,70.962,70.47,72.854,73.931,73.703,73.562,73.399,73.187,73.311,73.666,73.245,72.651,72.272,71.819,71.151
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1138900000,1172800000,1244650000,1308900000,1400850000,1474950000,1591150000,1707100000,3066850000,2846700000,2420550000,2042850000,2388300000,2293250000,2266300000,2240200000,2193050000,2138250000,2032750000,1909400000,1827050000,1745700000,1688500000,1738900000
Belize,BLZ,"Population, total",SP.POP.TOTL,240799,248379,256009,263780,271688,279731,287878,296100,411106,402733,395346,390812,385829,380226,373202,364705,356333,348923,341627,334414,327298,320245,312614,304361
Belize,BLZ,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.98060012,3.49099278,3.59433174,3.56305766,3.44779563,3.46698904,3.57004833,4.07867432,..,..,4.98043823,5.30974436,4.81374073,4.74657917,4.61620188,4.76508141,4.65365601,4.88208723,4.43660116,4.36242819,4.54942894,4.49519491,4.52587652,4.53821993
Benin,BEN,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.578,56.66,56.606,56.738,56.826,57.125,57.456,57.675,..,59.954,59.821,60.088,60.454,60.14,59.856,59.539,59.377,59.125,58.965,58.716,58.462,58.363,57.956,57.869
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,3519991440.47913,3666222635.13875,4194342686.2178,5349258094.48239,6190270380.49856,6567654954.38903,7034111314.88812,8169048382.83875,19676049075.7011,17401746309.2655,17690083519.9323,15651545208.8783,14391686309.033,14262408079.7014,12701655845.9612,11821065852.1271,11388160997.1089,13284527850.2632,12517845127.6775,11141358105.9853,10693321370.036,9535345011.48797,9738626517.00319,9787734526.23965
Benin,BEN,"Population, total",SP.POP.TOTL,7221619,7445596,7675426,7913070,8159094,8426144,8693242,8953969,14111034,13759501,13413417,13070169,12726755,12383347,12039780,11697842,11360681,11030004,10708834,10397657,10093623,9797484,9509423,9228466
Benin,BEN,Current health expenditure (% of GDP),SH.XPD.CHEX.GD.ZS,2.9591713,3.30417323,3.09589195,3.11678505,3.23273873,3.22345805,3.28773856,2.93715644,..,..,2.58129549,2.46970391,2.50914454,2.88632059,2.66813827,2.79549599,2.72813416,2.69111967,2.86880755,3.07562971,2.99707985,3.00988984,2.88892651,2.65178108
Bermuda,BMU,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,78.858,79.871,80.631,79.345,81.12,77.927,77.585,79.361,..,81.571,79.28,81.136,81.033,80.825,82.351,80.608,80.918,79.518,79.992,81.272,81.403,80.499,79.996,78.623
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,3480219000,3680483000,3937228000,4186525000,4484703000,4868136000,6144000000,6767000000,8141700000,7827980000,7286607000,6887147000,7423465000,7225977000,7142316000,6899911000,6654541000,6413988000,6465756000,6378188000,6312691000,6634526000,6656000000,6980000000
Bermuda,BMU,"Population, total",SP.POP.TOTL,61550,61867,62142,62386,62555,62711,62834,63010,64698,64749,64648,64382,64107,63831,63578,63449,63464,63529,63574,63646,63733,63725,63565,63300
